iter	RMSE
355	1.031143894
356	1.028921386
357	1.026214458
358	1.022266702
359	1.018357304
360	1.017021164
361	1.015002921
362	1.01218987
363	1.009215465
364	1.006367748
365	1.004972141
366	1.000828656
367	0.9978778076
368	0.9939533112
369	0.9911548692
370	0.9889579674
371	0.9865398411
372	0.9824710106
373	0.9792109671
374	0.9763549952
375	0.9740052699
376	0.9724973585
377	0.9702996214
378	0.9666757275
379	0.963774746
380	0.9606864944
381	0.9585513904
382	0.956166174
383	0.953876345
384	0.950348095
385	0.9478511131
386	0.9448099942
387	0.9423832967
388	0.9397888725
389	0.9376680852
390	0.9356940299
391	0.9342822096
392	0.9332946052
393	0.9321188821
394	0.9283123666
395	0.9252009773
396	0.92275763
397	0.9212859444
398	0.9194888188
399	0.917783705
400	0.9142904563
401	0.9116800638
402	0.9085631113
403	0.9051618872
404	0.9021588436
405	0.8989664725
406	0.8968610246
407	0.8953997928
408	0.8933176152
409	0.8901940258
410	0.8873185599
411	0.8841932929
412	0.8821426962
413	0.8792825003
414	0.8765603682
415	0.8743216071
416	0.871411371
417	0.8691131037
418	0.8680264895
419	0.8657149786
420	0.8642177571
421	0.8626938272
422	0.8595874056
423	0.856607838
424	0.8543185866
425	0.8520952057
426	0.8509319175
427	0.8485666717
428	0.8474371701
429	0.845558019
430	0.8436764185
431	0.8419410238
432	0.8393624126
433	0.8369488392
434	0.8341121764
435	0.8315337841
436	0.8287249993
437	0.8253695322
438	0.8231150443
439	0.8217019583
440	0.8190275106
441	0.816667913
442	0.8149469954
443	0.8137583465
444	0.8119175805
445	0.810045123
446	0.8084456785
447	0.8067406195
448	0.8045775749
449	0.8035820058
450	0.8017037009
451	0.7991903637
452	0.797443348
453	0.7953519328
454	0.7928299637
455	0.7919751697
456	0.7895547254
457	0.7872812385
458	0.785148498
459	0.7841418437
460	0.7833617466
461	0.7815426912
462	0.7804801663
463	0.7776076081
464	0.7751393674
465	0.7731022962
466	0.7713675372
467	0.7697306341
468	0.7672692799
469	0.7658287512
470	0.7640371191
471	0.7624650992
472	0.7599603523
473	0.7583406928
474	0.7560732777
475	0.7540947887
476	0.7526442842
477	0.7504477142
478	0.7479672127
479	0.7463029962
480	0.7445892381
481	0.7437731236
482	0.7421682945
483	0.7403493128
484	0.7384219852
485	0.7367516033
486	0.7354075247
487	0.733028942
488	0.7313122985
489	0.7300876326
490	0.729215823
491	0.7270784971
492	0.7249978715
493	0.7233749796
494	0.7222403585
495	0.7198669803
496	0.7179643799
497	0.7169888992
498	0.7149137673
499	0.712977948
500	0.7107842207
501	0.7086068793
502	0.7075849151
503	0.7054989854
504	0.7039274945
505	0.7024078381
506	0.7008125816
507	0.6993850944
508	0.698246001
509	0.6968616582
510	0.6951776859
511	0.6931218569
512	0.6918340379
513	0.6907221002
514	0.6888024209
515	0.6873860357
516	0.6866872042
517	0.6850276414
518	0.6842097248
519	0.6833657142
520	0.6822456175
521	0.6807044298
522	0.6798263413
523	0.6785667121
524	0.6764375306
525	0.6745502569
526	0.6729917147
527	0.6720614602
528	0.6710629584
529	0.6693018147
530	0.6685285993
531	0.6674739264
532	0.6661681668
533	0.6649197996
534	0.6630882053
535	0.6612255495
536	0.6591725004
537	0.6583668716
538	0.6566073944
539	0.6557875285
540	0.6549791442
541	0.6541606159
542	0.6525797357
543	0.6506510079
544	0.6489181881
545	0.6481891098
546	0.6474061065
547	0.6466701577
548	0.6450168672
549	0.6444647436
550	0.642750151
551	0.6414159673
552	0.6404803433
553	0.6396710573
554	0.6389279643
555	0.6382138677
556	0.6364286847
557	0.6356056499
558	0.634571512
559	0.6339093129
560	0.6328077687
561	0.630958102
562	0.6297128556
563	0.6284530983
564	0.626733413
565	0.6254377133
566	0.6244121883
567	0.6232520983
568	0.6219390713
569	0.6205923315
570	0.6190458097
571	0.6179157099
572	0.6166649254
573	0.6153458944
574	0.614163777
575	0.6128858431
576	0.6115513036
577	0.6100873346
578	0.609484665
579	0.6084738116
580	0.6078110729
581	0.6063339447
582	0.6052196092
583	0.6036334901
584	0.6028731502
585	0.6016076904
586	0.6001827556
587	0.5992031204
588	0.5980686192
589	0.5968720224
590	0.5961898923
591	0.5948590065
592	0.593845328
593	0.5927426554
594	0.5920428726
595	0.590715915
596	0.5902139268
597	0.5887569946
598	0.5871077369
599	0.5857552845
600	0.5845290665
601	0.5836963227
602	0.5821499587
603	0.5816124527
604	0.5803795891
605	0.5797142515
606	0.5790045343
607	0.5775377924
608	0.576384665
609	0.5750520587
610	0.5743733758
611	0.5729252818
612	0.5716804919
613	0.5709289613
614	0.5699035203
615	0.5690623989
616	0.5680156458
617	0.5666911067
618	0.5660249743
619	0.5650927551
620	0.5643505801
621	0.5636572567
622	0.5623561744
623	0.5616996109
624	0.5610580865
625	0.5595484331
626	0.5579803368
627	0.5566104146
628	0.5561622363
629	0.5549421944
630	0.5536233193
631	0.5526820603
632	0.5514209617
633	0.5508845787
634	0.5498449835
635	0.549311398
636	0.5487865424
637	0.5478323317
638	0.5471959695
639	0.5464764092
640	0.5454581511
641	0.5444318276
642	0.543498516
643	0.5427468256
644	0.5422565178
645	0.5413926817
646	0.5408760559
647	0.539778388
648	0.5389240468
649	0.5382547992
650	0.5371062651
651	0.5359807594
652	0.535389774
653	0.5340957509
654	0.5332222032
655	0.5320526155
656	0.5313506749
657	0.5302890263
658	0.5294798906
659	0.528645659
660	0.5279797552
661	0.5269205027
662	0.5259265097
663	0.5250981392
664	0.5240787671
665	0.5236291201
666	0.5228037104
667	0.5216774144
668	0.5213521848
669	0.5207912962
670	0.5198916787
671	0.5190036418
672	0.5184828643
673	0.517824876
674	0.5172072391
675	0.5164385826
676	0.515118842
677	0.5145521787
678	0.5139292616
679	0.5130574025
680	0.5120868983
681	0.5113305997
682	0.5101164604
683	0.5097346685
684	0.508895748
685	0.5081005822
686	0.5074810643
687	0.5069443888
688	0.5059247363
689	0.5052837741
690	0.5047290762
691	0.5044062545
692	0.5032303866
693	0.5026926359
694	0.502048517
695	0.5011152482
696	0.5003673246
697	0.4995965224
698	0.4990162806
699	0.4982564154
700	0.4976306922
701	0.4968802148
702	0.4958444513
703	0.4949213547
704	0.4941653136
705	0.4936760553
706	0.4930924052
707	0.4924777199
708	0.4915301641
709	0.4905423969
710	0.4895241086
711	0.4891013463
712	0.4884910347
713	0.4879512513
714	0.4872110376
715	0.4864534532
716	0.4857601513
717	0.4848768832
718	0.4837253978
719	0.483317235
720	0.4827784004
721	0.4819870898
722	0.4815940452
723	0.4806765854
724	0.4796716661
725	0.4786861169
726	0.4776170923
727	0.4765035902
728	0.4757432442
729	0.4754182235
730	0.4747195465
731	0.4744180951
732	0.4740784607
733	0.4735998527
734	0.4726450949
735	0.4718616277
736	0.4714888979
737	0.4710317634
738	0.470067902
739	0.4690872564
740	0.4682192065
741	0.4677962497
742	0.4668781668
743	0.4664358037
744	0.4659061582
745	0.4653340034
746	0.4648552724
747	0.4644780632
748	0.4641701938
749	0.4631732591
750	0.4621301925
751	0.4616794399
752	0.4610839105
753	0.4604749003
754	0.4597048221
755	0.4593203575
756	0.4585185382
757	0.4581666423
758	0.4578503666
759	0.457022899
760	0.4566126552
761	0.4561849156
762	0.4555256922
763	0.4546052227
764	0.4539997983
765	0.4529643901
766	0.4521169345
767	0.4513077939
768	0.4506358619
769	0.4500017628
770	0.4492485219
771	0.4484440467
772	0.4475808715
773	0.447223394
774	0.4464670365
775	0.4458558299
776	0.4452107945
777	0.4443105913
778	0.4436562826
779	0.4432032135
780	0.4420975052
781	0.4414903703
782	0.4409765399
783	0.4403856732
784	0.4395391203
785	0.4390054793
786	0.4384682283
787	0.4376455645
788	0.4368859111
789	0.4361678474
790	0.4357454706
791	0.4353785046
792	0.4345152907
793	0.4338185583
794	0.4331575445
795	0.4323791899
796	0.4316437185
797	0.4310670949
798	0.430449114
799	0.4297618043
800	0.4290834879
801	0.4286757361
802	0.4279145833
803	0.4275480551
804	0.4268644247
805	0.4263123504
806	0.4257012391
807	0.425078122
808	0.4244120947
809	0.4237681999
810	0.4234295673
811	0.4227366902
812	0.4220998224
813	0.4216006478
814	0.4211814453
815	0.4207092317
816	0.4203910403
817	0.4195479324
818	0.4186464906
819	0.4182912982
820	0.417638596
821	0.4169028326
822	0.4164011995
823	0.4158353821
824	0.4154057729
825	0.4146089394
826	0.4143190427
827	0.4136556057
828	0.412921633
829	0.4127710984
830	0.412079549
831	0.4112225542
832	0.4107060847
833	0.4101075656
834	0.4093088763
835	0.4088317077
836	0.408376555
837	0.4077317517
838	0.4071313836
839	0.4067019312
840	0.405929519
841	0.4052236141
842	0.4046322844
843	0.4041481476
844	0.4034266748
845	0.4027888682
846	0.402160018
847	0.4017841451
848	0.4011370016
849	0.4006668233
850	0.4003931371
851	0.399818182
852	0.3994840339
853	0.3989698342
854	0.398497877
855	0.3982076428
856	0.3974905061
857	0.3969172224
858	0.3966716277
859	0.3961394463
860	0.3956485599
861	0.3953255725
862	0.3950884826
863	0.3946718971
864	0.3944224375
865	0.3939166409
866	0.3931533908
867	0.3927194459
868	0.3920477504
869	0.3916291199
870	0.3910668287
871	0.3906099225
872	0.3902567663
873	0.3898103711
874	0.3895596968
875	0.3891372972
876	0.3884923261
877	0.3880588955
878	0.3877740939
879	0.3872670839
880	0.3869290497
881	0.3863926302
882	0.3856664175
883	0.3853143662
884	0.3848097211
885	0.3842807438
886	0.3837789063
887	0.3834395513
888	0.3830898161
889	0.3825796159
890	0.3821428989
891	0.3819550337
892	0.3815959359
893	0.3812753361
894	0.3809717429
895	0.3807131194
896	0.3803421491
897	0.379752835
898	0.3794807279
899	0.3789430623
900	0.3784033956
901	0.3778285624
902	0.3776036034
903	0.3770878647
904	0.3764939193
905	0.376275998
906	0.375810182
907	0.375518423
908	0.3749839896
909	0.3746483607
910	0.3744395641
911	0.3742693081
912	0.373847343
913	0.3734143358
914	0.3730958735
915	0.3726355139
916	0.372212702
917	0.371715895
918	0.3714361822
919	0.3712125513
920	0.3706199365
921	0.3701394139
922	0.3698695079
923	0.3695187096
924	0.3690311556
925	0.3686262961
926	0.3681833432
927	0.3677466795
928	0.3674612019
929	0.3669524614
930	0.3664760608
931	0.3659340782
932	0.3654386777
933	0.3650459017
934	0.36460311
935	0.3641954191
936	0.3639354051
937	0.3633472637
938	0.3628511139
939	0.3623710178
940	0.3620401515
941	0.3616461852
942	0.3613701306
943	0.3607699337
944	0.3604602134
945	0.3600710807
946	0.3595339237
947	0.3588939897
948	0.3586542894
949	0.3581298508
950	0.3575770519
951	0.3571556202
952	0.3567406776
953	0.3562972159
954	0.3556704885
955	0.3554692978
956	0.3549403635
957	0.3545273875
958	0.3542492444
959	0.3539893393
960	0.3538572365
961	0.3532851919
962	0.3527753311
963	0.3523565602
964	0.3521533238
965	0.3517496846
966	0.3513895212
967	0.3508080485
968	0.3505804347
969	0.3500921236
970	0.3497455729
971	0.3495240828
972	0.3489973453
973	0.3487839574
974	0.3482592293
975	0.3477036729
976	0.3472851741
977	0.3469489068
978	0.3464380534
979	0.3460880089
980	0.3458201642
981	0.3454282762
982	0.3449465451
983	0.3443793448
984	0.343934612
985	0.3434121208
986	0.3432386414
987	0.3429191214
988	0.3425676467
989	0.3421577313
990	0.3417460723
991	0.3415310313
992	0.3411953289
993	0.34091106
994	0.3407303213
995	0.3403157768
996	0.3399806369
997	0.3396281446
998	0.3391550333
999	0.338649648
